,id,set,img_file,raw_img_dir,img_rename,img_format
38,a89f20,train,"a89f20_[10943,50287]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a89f20_[10943,50287]_composite_image.jpg",blue
39,a85076,train,"a85076_[9068,57124]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a85076_[9068,57124]_composite_image.jpg",raw
40,a85076,train,"a85076_[9068,57124]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a85076_[9068,57124]_composite_image.jpg",red
41,a85076,train,"a85076_[9068,57124]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a85076_[9068,57124]_composite_image.jpg",blue
42,b37b6e,test,"b37b6e_[11629,52183]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b37b6e_[11629,52183]_composite_image.jpg",raw
43,b37b6e,test,"b37b6e_[11629,52183]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b37b6e_[11629,52183]_composite_image.jpg",red
44,b37b6e,test,"b37b6e_[11629,52183]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b37b6e_[11629,52183]_composite_image.jpg",blue
45,aba442,train,"aba442_[17350,55700]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_aba442_[17350,55700]_composite_image.jpg",raw
46,aba442,train,"aba442_[17350,55700]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_aba442_[17350,55700]_composite_image.jpg",red
47,aba442,train,"aba442_[17350,55700]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_aba442_[17350,55700]_composite_image.jpg",blue
48,b462ff,test,"b462ff_[12615,44523]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b462ff_[12615,44523]_composite_image.jpg",raw
49,b462ff,test,"b462ff_[12615,44523]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b462ff_[12615,44523]_composite_image.jpg",red
50,b462ff,test,"b462ff_[12615,44523]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b462ff_[12615,44523]_composite_image.jpg",blue
51,a7b285,test,"a7b285_[13407,58051]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a7b285_[13407,58051]_composite_image.jpg",raw
52,a7b285,test,"a7b285_[13407,58051]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a7b285_[13407,58051]_composite_image.jpg",red
53,a7b285,test,"a7b285_[13407,58051]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a7b285_[13407,58051]_composite_image.jpg",blue
54,a67dfe,train,"a67dfe_[13491,59805]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a67dfe_[13491,59805]_composite_image.jpg",raw
55,a67dfe,train,"a67dfe_[13491,59805]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a67dfe_[13491,59805]_composite_image.jpg",red
56,a67dfe,train,"a67dfe_[13491,59805]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a67dfe_[13491,59805]_composite_image.jpg",blue
57,a5969b,train,"a5969b_[5633,34403]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a5969b_[5633,34403]_composite_image.jpg",raw
58,a5969b,train,"a5969b_[5633,34403]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a5969b_[5633,34403]_composite_image.jpg",red
59,a5969b,train,"a5969b_[5633,34403]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a5969b_[5633,34403]_composite_image.jpg",blue
60,b4fddb,train,"b4fddb_[13622,51624]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b4fddb_[13622,51624]_composite_image.jpg",raw
61,b4fddb,train,"b4fddb_[13622,51624]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b4fddb_[13622,51624]_composite_image.jpg",red
62,b4fddb,train,"b4fddb_[13622,51624]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b4fddb_[13622,51624]_composite_image.jpg",blue
63,a85076,train,"a85076_[10180,56822]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a85076_[10180,56822]_composite_image.jpg",raw
64,a85076,train,"a85076_[10180,56822]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a85076_[10180,56822]_composite_image.jpg",red
65,a85076,train,"a85076_[10180,56822]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a85076_[10180,56822]_composite_image.jpg",blue
66,aea82d,train,"aea82d_[13677,50581]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_aea82d_[13677,50581]_composite_image.jpg",raw
67,aea82d,train,"aea82d_[13677,50581]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_aea82d_[13677,50581]_composite_image.jpg",red
68,aea82d,train,"aea82d_[13677,50581]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_aea82d_[13677,50581]_composite_image.jpg",blue
69,a4fa68,train,"a4fa68_[14949,49878]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a4fa68_[14949,49878]_composite_image.jpg",raw
70,a4fa68,train,"a4fa68_[14949,49878]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a4fa68_[14949,49878]_composite_image.jpg",red
71,a4fa68,train,"a4fa68_[14949,49878]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a4fa68_[14949,49878]_composite_image.jpg",blue
72,ae5b78,train,"ae5b78_[11078,54489]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ae5b78_[11078,54489]_composite_image.jpg",raw
73,ae5b78,train,"ae5b78_[11078,54489]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ae5b78_[11078,54489]_composite_image.jpg",red
74,ae5b78,train,"ae5b78_[11078,54489]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ae5b78_[11078,54489]_composite_image.jpg",blue
75,a54803,train,"a54803_[12808,41916]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a54803_[12808,41916]_composite_image.jpg",raw
76,a54803,train,"a54803_[12808,41916]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a54803_[12808,41916]_composite_image.jpg",red
77,a54803,train,"a54803_[12808,41916]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a54803_[12808,41916]_composite_image.jpg",blue
78,acd8f0,train,"acd8f0_[6849,36368]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_acd8f0_[6849,36368]_composite_image.jpg",raw
79,acd8f0,train,"acd8f0_[6849,36368]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_acd8f0_[6849,36368]_composite_image.jpg",red
80,acd8f0,train,"acd8f0_[6849,36368]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_acd8f0_[6849,36368]_composite_image.jpg",blue
81,a8ebaf,train,"a8ebaf_[19331,55640]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a8ebaf_[19331,55640]_composite_image.jpg",raw
82,a8ebaf,train,"a8ebaf_[19331,55640]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a8ebaf_[19331,55640]_composite_image.jpg",red
83,a8ebaf,train,"a8ebaf_[19331,55640]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a8ebaf_[19331,55640]_composite_image.jpg",blue
84,aa6e3d,train,"aa6e3d_[11175,54888]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_aa6e3d_[11175,54888]_composite_image.jpg",raw
85,aa6e3d,train,"aa6e3d_[11175,54888]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_aa6e3d_[11175,54888]_composite_image.jpg",red
86,aa6e3d,train,"aa6e3d_[11175,54888]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_aa6e3d_[11175,54888]_composite_image.jpg",blue
87,a6cafe,train,"a6cafe_[13962,44747]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a6cafe_[13962,44747]_composite_image.jpg",raw
88,a6cafe,train,"a6cafe_[13962,44747]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a6cafe_[13962,44747]_composite_image.jpg",red
89,a6cafe,train,"a6cafe_[13962,44747]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a6cafe_[13962,44747]_composite_image.jpg",blue
90,a89f20,train,"a89f20_[10967,46336]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a89f20_[10967,46336]_composite_image.jpg",raw
91,a89f20,train,"a89f20_[10967,46336]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a89f20_[10967,46336]_composite_image.jpg",red
92,a89f20,train,"a89f20_[10967,46336]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a89f20_[10967,46336]_composite_image.jpg",blue
93,b4fddb,train,"b4fddb_[13503,40379]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b4fddb_[13503,40379]_composite_image.jpg",raw
94,b4fddb,train,"b4fddb_[13503,40379]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b4fddb_[13503,40379]_composite_image.jpg",red
95,b4fddb,train,"b4fddb_[13503,40379]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b4fddb_[13503,40379]_composite_image.jpg",blue
96,ad2573,test,"ad2573_[13035,44991]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ad2573_[13035,44991]_composite_image.jpg",raw
97,ad2573,test,"ad2573_[13035,44991]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ad2573_[13035,44991]_composite_image.jpg",red
98,ad2573,test,"ad2573_[13035,44991]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ad2573_[13035,44991]_composite_image.jpg",blue
99,b32f11,train,"b32f11_[13046,52254]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b32f11_[13046,52254]_composite_image.jpg",raw
100,b32f11,train,"b32f11_[13046,52254]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b32f11_[13046,52254]_composite_image.jpg",red
101,b32f11,train,"b32f11_[13046,52254]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b32f11_[13046,52254]_composite_image.jpg",blue
102,ae5b78,train,"ae5b78_[11884,53791]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ae5b78_[11884,53791]_composite_image.jpg",raw
103,ae5b78,train,"ae5b78_[11884,53791]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ae5b78_[11884,53791]_composite_image.jpg",red
104,ae5b78,train,"ae5b78_[11884,53791]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ae5b78_[11884,53791]_composite_image.jpg",blue
105,ab55eb,train,"ab55eb_[15291,50037]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ab55eb_[15291,50037]_composite_image.jpg",raw
106,ab55eb,train,"ab55eb_[15291,50037]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ab55eb_[15291,50037]_composite_image.jpg",red
107,ab55eb,train,"ab55eb_[15291,50037]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ab55eb_[15291,50037]_composite_image.jpg",blue
108,adc0ca,train,"adc0ca_[10924,39800]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_adc0ca_[10924,39800]_composite_image.jpg",raw
109,adc0ca,train,"adc0ca_[10924,39800]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_adc0ca_[10924,39800]_composite_image.jpg",red
110,adc0ca,train,"adc0ca_[10924,39800]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_adc0ca_[10924,39800]_composite_image.jpg",blue
111,a4ad44,train,"a4ad44_[11370,51831]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a4ad44_[11370,51831]_composite_image.jpg",raw
112,a4ad44,train,"a4ad44_[11370,51831]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a4ad44_[11370,51831]_composite_image.jpg",red
113,a4ad44,train,"a4ad44_[11370,51831]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a4ad44_[11370,51831]_composite_image.jpg",blue
114,a4ad44,train,"a4ad44_[12800,52067]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a4ad44_[12800,52067]_composite_image.jpg",raw
115,a4ad44,train,"a4ad44_[12800,52067]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a4ad44_[12800,52067]_composite_image.jpg",red
116,a4ad44,train,"a4ad44_[12800,52067]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a4ad44_[12800,52067]_composite_image.jpg",blue
117,b631e6,test,"b631e6_[11897,47480]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b631e6_[11897,47480]_composite_image.jpg",raw
118,b631e6,test,"b631e6_[11897,47480]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b631e6_[11897,47480]_composite_image.jpg",red
119,b631e6,test,"b631e6_[11897,47480]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b631e6_[11897,47480]_composite_image.jpg",blue
120,aa6e3d,train,"aa6e3d_[11678,55735]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_aa6e3d_[11678,55735]_composite_image.jpg",raw
121,aa6e3d,train,"aa6e3d_[11678,55735]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_aa6e3d_[11678,55735]_composite_image.jpg",red
122,aa6e3d,train,"aa6e3d_[11678,55735]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_aa6e3d_[11678,55735]_composite_image.jpg",blue
123,b631e6,test,"b631e6_[15887,37878]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b631e6_[15887,37878]_composite_image.jpg",raw
124,b631e6,test,"b631e6_[15887,37878]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b631e6_[15887,37878]_composite_image.jpg",red
125,b631e6,test,"b631e6_[15887,37878]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b631e6_[15887,37878]_composite_image.jpg",blue
126,a4fa68,train,"a4fa68_[14458,48150]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a4fa68_[14458,48150]_composite_image.jpg",raw
127,a4fa68,train,"a4fa68_[14458,48150]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a4fa68_[14458,48150]_composite_image.jpg",red
128,a4fa68,train,"a4fa68_[14458,48150]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a4fa68_[14458,48150]_composite_image.jpg",blue
129,b075a7,train,"b075a7_[17274,51217]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b075a7_[17274,51217]_composite_image.jpg",raw
130,b075a7,train,"b075a7_[17274,51217]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b075a7_[17274,51217]_composite_image.jpg",red
131,b075a7,train,"b075a7_[17274,51217]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b075a7_[17274,51217]_composite_image.jpg",blue
132,a93ad8,train,"a93ad8_[10473,43885]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a93ad8_[10473,43885]_composite_image.jpg",raw
133,a93ad8,train,"a93ad8_[10473,43885]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a93ad8_[10473,43885]_composite_image.jpg",red
134,a93ad8,train,"a93ad8_[10473,43885]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a93ad8_[10473,43885]_composite_image.jpg",blue
135,b462ff,test,"b462ff_[11684,44523]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b462ff_[11684,44523]_composite_image.jpg",raw
136,b462ff,test,"b462ff_[11684,44523]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b462ff_[11684,44523]_composite_image.jpg",red
137,b462ff,test,"b462ff_[11684,44523]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b462ff_[11684,44523]_composite_image.jpg",blue
138,b462ff,test,"b462ff_[11684,45221]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b462ff_[11684,45221]_composite_image.jpg",raw
139,b462ff,test,"b462ff_[11684,45221]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b462ff_[11684,45221]_composite_image.jpg",red
140,b462ff,test,"b462ff_[11684,45221]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b462ff_[11684,45221]_composite_image.jpg",blue
141,b4b14e,train,"b4b14e_[11529,54443]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b4b14e_[11529,54443]_composite_image.jpg",raw
142,b4b14e,train,"b4b14e_[11529,54443]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b4b14e_[11529,54443]_composite_image.jpg",red
143,b4b14e,train,"b4b14e_[11529,54443]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b4b14e_[11529,54443]_composite_image.jpg",blue
144,b4fddb,train,"b4fddb_[13033,38744]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b4fddb_[13033,38744]_composite_image.jpg",raw
145,b4fddb,train,"b4fddb_[13033,38744]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b4fddb_[13033,38744]_composite_image.jpg",red
146,b4fddb,train,"b4fddb_[13033,38744]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b4fddb_[13033,38744]_composite_image.jpg",blue
147,b59738,train,"b59738_[10004,58552]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b59738_[10004,58552]_composite_image.jpg",raw
148,b59738,train,"b59738_[10004,58552]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b59738_[10004,58552]_composite_image.jpg",red
149,b59738,train,"b59738_[10004,58552]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b59738_[10004,58552]_composite_image.jpg",blue
150,a801cb,train,"a801cb_[13408,35551]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a801cb_[13408,35551]_composite_image.jpg",raw
151,a801cb,train,"a801cb_[13408,35551]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a801cb_[13408,35551]_composite_image.jpg",red
152,a801cb,train,"a801cb_[13408,35551]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a801cb_[13408,35551]_composite_image.jpg",blue
153,a8ebaf,train,"a8ebaf_[18400,55741]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a8ebaf_[18400,55741]_composite_image.jpg",raw
154,a8ebaf,train,"a8ebaf_[18400,55741]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a8ebaf_[18400,55741]_composite_image.jpg",red
155,a8ebaf,train,"a8ebaf_[18400,55741]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a8ebaf_[18400,55741]_composite_image.jpg",blue
156,a7b285,test,"a7b285_[14338,58305]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a7b285_[14338,58305]_composite_image.jpg",raw
157,a7b285,test,"a7b285_[14338,58305]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a7b285_[14338,58305]_composite_image.jpg",red
158,a7b285,test,"a7b285_[14338,58305]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a7b285_[14338,58305]_composite_image.jpg",blue
159,ab55eb,train,"ab55eb_[16314,48565]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ab55eb_[16314,48565]_composite_image.jpg",raw
160,ab55eb,train,"ab55eb_[16314,48565]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ab55eb_[16314,48565]_composite_image.jpg",red
161,ab55eb,train,"ab55eb_[16314,48565]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ab55eb_[16314,48565]_composite_image.jpg",blue
162,ac3e32,test,"ac3e32_[11938,49725]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ac3e32_[11938,49725]_composite_image.jpg",raw
163,ac3e32,test,"ac3e32_[11938,49725]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ac3e32_[11938,49725]_composite_image.jpg",red
164,ac3e32,test,"ac3e32_[11938,49725]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ac3e32_[11938,49725]_composite_image.jpg",blue
165,b3c9bb,train,"b3c9bb_[16755,51038]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b3c9bb_[16755,51038]_composite_image.jpg",raw
166,b3c9bb,train,"b3c9bb_[16755,51038]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b3c9bb_[16755,51038]_composite_image.jpg",red
167,b3c9bb,train,"b3c9bb_[16755,51038]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b3c9bb_[16755,51038]_composite_image.jpg",blue
168,b293e2,train,"b293e2_[6192,59262]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b293e2_[6192,59262]_composite_image.jpg",raw
169,b293e2,train,"b293e2_[6192,59262]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b293e2_[6192,59262]_composite_image.jpg",red
170,b293e2,train,"b293e2_[6192,59262]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b293e2_[6192,59262]_composite_image.jpg",blue
171,afdc1c,train,"afdc1c_[11130,46985]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_afdc1c_[11130,46985]_composite_image.jpg",raw
172,afdc1c,train,"afdc1c_[11130,46985]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_afdc1c_[11130,46985]_composite_image.jpg",red
173,afdc1c,train,"afdc1c_[11130,46985]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_afdc1c_[11130,46985]_composite_image.jpg",blue
174,b67e5a,train,"b67e5a_[12542,56221]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b67e5a_[12542,56221]_composite_image.jpg",raw
175,b67e5a,train,"b67e5a_[12542,56221]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b67e5a_[12542,56221]_composite_image.jpg",red
176,b67e5a,train,"b67e5a_[12542,56221]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b67e5a_[12542,56221]_composite_image.jpg",blue
177,b4fddb,train,"b4fddb_[11984,37261]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b4fddb_[11984,37261]_composite_image.jpg",raw
178,b4fddb,train,"b4fddb_[11984,37261]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b4fddb_[11984,37261]_composite_image.jpg",red
